GEO_ID,NAME,S1701_C01_001E,S1701_C02_001E,S1701_C03_001E
6001,"Alameda County, California",1617225,170884,10.6
6003,"Alpine County, California",1146,227,19.8
6005,"Amador County, California",34161,3323,9.7
6007,"Butte County, California",221237,44410,20.1
6009,"Calaveras County, California",44743,5242,11.7
6011,"Colusa County, California",21274,2929,13.8
6013,"Contra Costa County, California",1123857,102543,9.1
6015,"Del Norte County, California",24219,5458,22.5
6017,"El Dorado County, California",185012,16537,8.9
6019,"Fresno County, California",961820,232067,24.1
6021,"Glenn County, California",27448,5152,18.8
6023,"Humboldt County, California",132483,26957,20.3
6025,"Imperial County, California",170447,41191,24.2
6027,"Inyo County, California",17606,1792,10.2
6029,"Kern County, California",851826,187232,22
6031,"Kings County, California",134853,28084,20.8
6033,"Lake County, California",63040,13224,21
6035,"Lassen County, California",21230,2933,13.8
6037,"Los Angeles County, California",9947799,1589956,16
6039,"Madera County, California",146576,30549,20.8
6041,"Marin County, California",254105,19341,7.6
6043,"Mariposa County, California",17342,2435,14
6045,"Mendocino County, California",85862,15877,18.5
6047,"Merced County, California",262972,59660,22.7
6049,"Modoc County, California",8656,1435,16.6
6051,"Mono County, California",14046,1454,10.4
6053,"Monterey County, California",416002,58699,14.1
6055,"Napa County, California",137164,11168,8.1
6057,"Nevada County, California",98014,11169,11.4
6059,"Orange County, California",3127012,359503,11.5
6061,"Placer County, California",376614,30293,8
6063,"Plumas County, California",18385,2146,11.7
6065,"Riverside County, California",2347408,345724,14.7
6067,"Sacramento County, California",1489573,235982,15.8
6069,"San Benito County, California",59095,5459,9.2
6071,"San Bernardino County, California",2075424,359080,17.3
6073,"San Diego County, California",3221497,403190,12.5
6075,"San Francisco County, California",856426,92979,10.9
6077,"San Joaquin County, California",717960,114294,15.9
6079,"San Luis Obispo County, California",265343,35303,13.3
6081,"San Mateo County, California",759786,53387,7
6083,"Santa Barbara County, California",424510,63010,14.8
6085,"Santa Clara County, California",1891976,149850,7.9
6087,"Santa Cruz County, California",262312,37429,14.3
6089,"Shasta County, California",176198,30186,17.1
6091,"Sierra County, California",2903,241,8.3
6093,"Siskiyou County, California",43166,8374,19.4
6095,"Solano County, California",428057,44427,10.4
6097,"Sonoma County, California",494493,50714,10.3
6099,"Stanislaus County, California",534234,86066,16.1
6101,"Sutter County, California",94745,15181,16
6103,"Tehama County, California",62534,13464,21.5
6105,"Trinity County, California",12628,2491,19.7
6107,"Tulare County, California",454844,115786,25.5
6109,"Tuolumne County, California",50556,6715,13.3
6111,"Ventura County, California",836489,80058,9.6
6113,"Yolo County, California",207026,40583,19.6
6115,"Yuba County, California",74044,13298,18
