time,latitude,longitude,depth,mag,magNst,rms,id,updated,place
2020-10-05T18:15:20.800Z,44.2985,-115.1486667,4.52,2.71,12,0.23,mb80466979,2020-10-05T18:29:01.450Z,"19 km WNW of Stanley, Idaho"
2020-10-05T04:06:36.860Z,37.4790001,-118.8164978,3.15,3.38,27,0.06,nc73466751,2020-10-05T16:15:07.395Z,"15km SW of Toms Place, CA"
2020-10-04T19:36:20.893Z,44.5588,-115.1272,10,2.8,68,1.07,us6000c5it,2020-10-05T18:39:53.040Z,"40 km NNW of Stanley, Idaho"
2020-10-04T05:22:52.200Z,39.3621674,-123.2509995,5.2,2.75,26,0.06,nc73466356,2020-10-04T18:42:08.695Z,"10km ESE of Willits, CA"
2020-10-04T04:49:17.490Z,39.3573333,-123.2521667,6.62,3.48,4,0.1,nc73466321,2020-10-05T20:28:06.192Z,"11km ESE of Willits, CA"
2020-10-04T04:44:12.090Z,37.965168,-122.0216675,13.62,2.64,64,0.14,nc73466316,2020-10-04T23:21:03.466Z,"1km WSW of Concord, CA"
2020-10-03T23:26:59.940Z,33.0223333,-115.5861667,12.8,3.62,4,0.26,ci39651784,2020-10-05T15:26:29.132Z,"4km ESE of Westmorland, CA"
2020-10-03T20:21:00.460Z,33.0201667,-115.5871667,11.26,2.94,183,0.27,ci39651720,2020-10-05T17:54:38.730Z,"4km ESE of Westmorland, CA"
2020-10-03T20:16:27.150Z,35.66,-117.4285,7.01,3.35,290,0.14,ci39651712,2020-10-05T18:56:10.420Z,"12km S of Searles Valley, CA"
2020-10-03T17:31:56.560Z,32.9366667,-116.2838333,7.44,2.51,26,0.22,ci39651624,2020-10-04T00:13:36.475Z,"26km ENE of Pine Valley, CA"
2020-10-03T14:13:57.950Z,37.4410019,-118.8513336,6.7,2.8,25,0.04,nc73466101,2020-10-03T15:54:04.797Z,"20km SW of Toms Place, CA"
2020-10-03T13:41:47.090Z,38.0853333,-112.4241667,8.5,2.65,11,0.2,uu60412997,2020-10-05T13:31:18.285Z,"16 km SW of Circleville, Utah"
2020-10-03T11:52:50.590Z,38.099,-112.4168333,8.01,2.58,2,0.23,uu60412962,2020-10-05T13:45:06.777Z,"15 km WSW of Circleville, Utah"
2020-10-03T11:47:43.960Z,38.092,-112.4198333,8.34,4.42,23,0.21,uu60412957,2020-10-05T17:55:07.913Z,"15 km SW of Circleville, Utah"
2020-10-03T03:51:33.360Z,38.1691,-117.886,5.8,2.9,13,0.1614,nn00776831,2020-10-04T02:25:50.829Z,"31 km SE of Mina, Nevada"
2020-10-03T01:31:00.020Z,33.0215,-115.5855,14.43,2.8,156,0.23,ci39650672,2020-10-05T18:27:56.260Z,"4km ESE of Westmorland, CA"
2020-10-03T00:38:30.788Z,44.2681,-115.4167,10,2.6,53,1.04,us6000c52g,2020-10-05T15:26:06.510Z,"26 km NE of Lowman, Idaho"
2020-10-02T21:14:19.150Z,31.507,-115.635,2.47,2.73,58,0.06,ci37456949,2020-10-02T23:57:02.997Z,"91km ESE of Maneadero, B.C., MX"
2020-10-02T18:51:29.671Z,44.3576,-115.1637,12.82,2.5,54,0.52,us6000c4ym,2020-10-02T21:02:51.040Z,"23 km NW of Stanley, Idaho"
2020-10-02T15:39:59.330Z,37.4943352,-121.8256683,4.41,2.92,84,0.08,nc73465746,2020-10-03T06:41:42.739Z,"10km NE of Milpitas, CA"
2020-10-02T12:32:47.240Z,35.643,-117.5481667,6.13,3.4,109,0.12,ci39649656,2020-10-05T18:39:12.980Z,"12km ENE of Ridgecrest, CA"
2020-10-02T12:13:43.580Z,33.0391667,-115.591,1.93,2.69,25,0.25,ci39649608,2020-10-02T13:45:35.565Z,"3km E of Westmorland, CA"
2020-10-02T07:53:53.290Z,39.8521652,-123.3613358,5.76,2.79,26,0.09,nc73465571,2020-10-02T12:07:35.621Z,"12km NW of Covelo, CA"
2020-10-02T06:08:50.640Z,33.0601667,-115.5716667,3.92,3.66,4,0.25,ci39649056,2020-10-04T05:05:56.039Z,"5km ENE of Westmorland, CA"
2020-10-02T06:08:28.090Z,33.0691667,-115.5726667,5.63,3.71,80,0.26,ci39649048,2020-10-03T06:10:40.272Z,"6km NE of Westmorland, CA"
2020-10-02T06:08:19.880Z,33.0681667,-115.5708333,11.17,3.4,54,0.26,ci39649040,2020-10-03T06:10:56.762Z,"6km NE of Westmorland, CA"
2020-10-02T05:37:29.260Z,33.0683333,-115.566,9.19,2.86,22,0.27,ci39648936,2020-10-02T15:21:24.400Z,"6km NE of Westmorland, CA"
2020-10-02T03:31:52.550Z,33.0671667,-115.5681667,5.06,2.53,26,0.23,ci39648776,2020-10-02T03:42:33.450Z,"6km NE of Westmorland, CA"
2020-10-02T02:23:51.500Z,33.0695,-115.5711667,2.67,2.72,27,0.29,ci39648576,2020-10-02T02:39:08.040Z,"6km NE of Westmorland, CA"
2020-10-02T02:15:04.810Z,33.063,-115.5698333,5.43,2.51,26,0.26,ci39648528,2020-10-02T02:33:00.040Z,"6km ENE of Westmorland, CA"
2020-10-02T02:12:30.300Z,33.035,-115.5725,5.71,2.72,2,0.14,ci39648488,2020-10-02T02:16:18.007Z,"5km E of Westmorland, CA"
2020-10-02T02:10:44.830Z,33.0658333,-115.5753333,10.79,3.22,230,0.27,ci39648480,2020-10-05T20:51:40.490Z,"5km NE of Westmorland, CA"
2020-10-02T02:10:44.224Z,33.0667,-115.5911,10,3.1,46,0.9,us6000c4j6,2020-10-05T20:51:45.020Z,"4 km NE of Westmorland, California"
2020-10-02T01:52:30.560Z,33.0608333,-115.5773333,7.29,2.61,25,0.22,ci39648432,2020-10-02T02:15:59.040Z,"5km ENE of Westmorland, CA"
2020-10-02T01:40:34.050Z,33.0615,-115.5736667,2.84,2.66,26,0.24,ci39648408,2020-10-02T02:11:10.040Z,"5km ENE of Westmorland, CA"
2020-10-02T01:12:30.170Z,33.0613333,-115.5775,4.79,2.66,25,0.24,ci39648352,2020-10-02T01:23:21.380Z,"5km ENE of Westmorland, CA"
2020-10-01T23:58:10.440Z,33.0491667,-115.5866667,6.66,2.58,25,0.25,ci39648168,2020-10-02T00:09:11.270Z,"4km ENE of Westmorland, CA"
